Statistic,Per 90,Percentile
Non-Penalty Goals,0.16,86
npxG,0.12,82
Shots Total,1.05,53
Assists,0.19,90
xA,0.19,95
npxG+xA,0.31,93
Shot-Creating Actions,3.07,88
Passes Attempted,64.10,86
Pass Completion %,86.9%,78
Progressive Passes,5.95,90
Progressive Carries,7.13,95
Dribbles Completed,1.40,91
Touches (Att Pen),1.46,63
Progressive Passes Rec,1.83,54
Pressures,24.47,92
Tackles,3.75,98
Interceptions,1.77,56
Blocks,1.77,66
Clearances,1.02,34
Aerials won,0.68,23
